epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,511.592,3.94984,4.96824,0.01795,0.00062,0.01102,0.00034,0.00011,3.85949,4.844,0.01661,0.0008574,0.0002858,0.0008574,0.0002858,0.0008574,0.0002858,0.0008574,0.0002858
2,922.53,3.57783,4.311,0.01496,0.02779,0.0902,0.01662,0.00429,3.47926,3.76583,0.01245,0.00174027,0.00058009,0.00174027,0.00058009,0.00174027,0.00058009,0.00174027,0.00058009
3,1342,3.25552,3.40433,0.01193,0.17783,0.0853,0.06752,0.02252,3.23054,2.81929,0.00995,0.00260531,0.000868438,0.00260531,0.000868438,0.00260531,0.000868438,0.00260531,0.000868438
4,1741.06,3.0605,2.90877,0.01001,0.21863,0.14005,0.10559,0.0398,3.12159,2.51444,0.00922,0.00345253,0.00115084,0.00345253,0.00115084,0.00345253,0.00115084,0.00345253,0.00115084
5,2113.41,2.85717,2.54329,0.0086,0.30493,0.23781,0.15801,0.06473,2.99372,2.37757,0.00884,0.00411723,0.00137241,0.00411723,0.00137241,0.00411723,0.00137241,0.00411723,0.00137241
6,2483.43,2.91683,2.27646,0.00784,0.58363,0.26242,0.19533,0.08805,2.90381,2.08935,0.00814,0.00407479,0.00135826,0.00407479,0.00135826,0.00407479,0.00135826,0.00407479,0.00135826
7,2845.38,2.71519,2.02465,0.00675,0.38697,0.27169,0.21168,0.09487,2.86893,1.97275,0.0082,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412
8,3229.79,2.78383,1.95023,0.00693,0.47422,0.28491,0.2242,0.0971,2.7914,1.89893,0.00768,0.00398991,0.00132997,0.00398991,0.00132997,0.00398991,0.00132997,0.00398991,0.00132997
9,3593.53,2.60902,1.90437,0.00671,0.4992,0.34053,0.28818,0.12956,2.70711,1.80657,0.00717,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582
10,3959.41,2.67837,1.87796,0.00644,0.44758,0.36848,0.30341,0.13664,2.64414,1.73291,0.00698,0.00390503,0.00130168,0.00390503,0.00130168,0.00390503,0.00130168,0.00390503,0.00130168
11,4333.15,2.68049,1.80205,0.00574,0.44065,0.43555,0.35227,0.15891,2.60081,1.64679,0.00668,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753
12,4709.84,2.48738,1.75488,0.00563,0.46162,0.42798,0.36016,0.16976,2.55353,1.64389,0.00647,0.00382015,0.00127338,0.00382015,0.00127338,0.00382015,0.00127338,0.00382015,0.00127338
13,5076.95,2.45942,1.77381,0.00582,0.42566,0.40501,0.32747,0.15019,2.49755,1.67926,0.00642,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923
14,5441.41,2.36287,1.71975,0.00551,0.48387,0.41813,0.35557,0.16848,2.51534,1.66821,0.00626,0.00373526,0.00124509,0.00373526,0.00124509,0.00373526,0.00124509,0.00373526,0.00124509
15,5808.87,2.44025,1.6474,0.00539,0.48057,0.40955,0.3378,0.14731,2.6177,1.67915,0.00673,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094
16,6189.19,2.41014,1.68784,0.00547,0.49826,0.46112,0.40606,0.18871,2.54763,1.60908,0.0062,0.00365038,0.00121679,0.00365038,0.00121679,0.00365038,0.00121679,0.00365038,0.00121679
17,6559.16,2.32881,1.57834,0.0052,0.51997,0.46861,0.41905,0.20211,2.42552,1.60366,0.00592,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265
18,6926.71,2.34509,1.5857,0.00518,0.48661,0.44568,0.38471,0.17973,2.48736,1.82398,0.00612,0.0035655,0.0011885,0.0035655,0.0011885,0.0035655,0.0011885,0.0035655,0.0011885
19,7292.02,2.28461,1.55538,0.00504,0.5517,0.49575,0.45101,0.22396,2.39451,1.53897,0.00572,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435
20,7669.56,2.38026,1.60036,0.00532,0.51907,0.43829,0.37957,0.18796,2.36151,1.6319,0.00615,0.00348062,0.00116021,0.00348062,0.00116021,0.00348062,0.00116021,0.00348062,0.00116021
21,8028.7,2.23161,1.58314,0.00537,0.55266,0.50472,0.46509,0.23626,2.3095,1.50461,0.00549,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
22,8392.2,2.32737,1.63209,0.00525,0.58718,0.51094,0.47846,0.24587,2.24753,1.509,0.00539,0.00339573,0.00113191,0.00339573,0.00113191,0.00339573,0.00113191,0.00339573,0.00113191
23,8761.43,2.21954,1.51047,0.00472,0.56441,0.51881,0.47264,0.24393,2.34396,1.52923,0.00548,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776
24,9138.02,2.22826,1.51272,0.00492,0.53011,0.4658,0.42613,0.20971,2.55705,1.60895,0.0059,0.00331085,0.00110362,0.00331085,0.00110362,0.00331085,0.00110362,0.00331085,0.00110362
25,9502.99,2.18808,1.51164,0.00497,0.56822,0.48296,0.43552,0.22478,2.36477,1.51927,0.00587,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947
26,9870.68,2.29201,1.5199,0.00488,0.55454,0.44988,0.41422,0.21127,2.33647,1.62279,0.00574,0.00322597,0.00107532,0.00322597,0.00107532,0.00322597,0.00107532,0.00322597,0.00107532
27,10239.4,2.25197,1.48208,0.00485,0.56607,0.47609,0.43358,0.21512,2.41727,1.538,0.00569,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118
28,10612.4,2.15987,1.49151,0.00468,0.55027,0.50451,0.46671,0.23306,2.35211,1.50617,0.00547,0.00314108,0.00104703,0.00314108,0.00104703,0.00314108,0.00104703,0.00314108,0.00104703
29,10976.6,2.18954,1.46398,0.00474,0.53214,0.50607,0.44692,0.21589,2.31743,1.55916,0.00547,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288
30,11345.7,2.21778,1.43984,0.00468,0.52579,0.50387,0.44573,0.21147,2.39907,1.57729,0.00568,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873
31,11712.7,2.16032,1.48883,0.00481,0.59155,0.54737,0.5123,0.26687,2.22312,1.43699,0.00516,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
32,12091.7,2.15235,1.42265,0.00446,0.5623,0.50992,0.47258,0.23783,2.35975,1.49556,0.00539,0.00297132,0.00099044,0.00297132,0.00099044,0.00297132,0.00099044,0.00297132,0.00099044
33,12454.2,2.104,1.41394,0.00452,0.59022,0.5291,0.51574,0.26475,2.20092,1.44499,0.00514,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293
34,12817.2,2.12765,1.40896,0.00479,0.60701,0.5489,0.51949,0.27329,2.17587,1.43219,0.00515,0.00288644,0.000962146,0.00288644,0.000962146,0.00288644,0.000962146,0.00288644,0.000962146
35,13248.8,2.18175,1.40186,0.00448,0.60041,0.5245,0.4892,0.25255,2.22898,1.48018,0.0054,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999
36,13846.5,2.15234,1.36809,0.00438,0.60934,0.53263,0.5007,0.26446,2.17883,1.47083,0.00514,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851
37,14408.4,2.11038,1.40631,0.00454,0.60402,0.53457,0.50598,0.26657,2.2288,1.44869,0.00517,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704
38,14779.5,2.17359,1.41233,0.00455,0.55803,0.49026,0.46818,0.23676,2.40737,1.51001,0.00552,0.00271667,0.000905557,0.00271667,0.000905557,0.00271667,0.000905557,0.00271667,0.000905557
39,15150.6,2.07563,1.38677,0.0044,0.58457,0.52819,0.50067,0.25781,2.29302,1.47838,0.00527,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141
40,15540.6,2.11633,1.40598,0.00451,0.59517,0.53551,0.51051,0.26753,2.25473,1.46047,0.0052,0.00263179,0.000877263,0.00263179,0.000877263,0.00263179,0.000877263,0.00263179,0.000877263
41,15909.1,2.11971,1.37608,0.00437,0.60207,0.551,0.51856,0.2731,2.21956,1.44737,0.00508,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
42,16277.6,2.04605,1.36517,0.00446,0.59174,0.51785,0.4918,0.255,2.272,1.46948,0.00527,0.00254691,0.000848969,0.00254691,0.000848969,0.00254691,0.000848969,0.00254691,0.000848969
43,16656,2.0849,1.42364,0.00456,0.57255,0.51182,0.47164,0.24197,2.19701,1.5006,0.00519,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822
44,17622.8,2.05626,1.38851,0.00446,0.5778,0.53369,0.4995,0.25878,2.20602,1.49038,0.00523,0.00246202,0.000820675,0.00246202,0.000820675,0.00246202,0.000820675,0.00246202,0.000820675
45,17993.1,2.1859,1.40316,0.00433,0.56102,0.5089,0.46958,0.23846,2.23538,1.53804,0.00532,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528
46,18389.4,2.0756,1.34796,0.00436,0.54937,0.4876,0.44162,0.2265,2.2267,1.53611,0.00559,0.00237714,0.00079238,0.00237714,0.00079238,0.00237714,0.00079238,0.00237714,0.00079238
47,18756.9,2.06201,1.36411,0.00423,0.57761,0.52498,0.49282,0.25354,2.18295,1.50048,0.00514,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233
48,19136.8,2.10152,1.35881,0.00415,0.59885,0.564,0.52903,0.2764,2.14005,1.43922,0.00498,0.00229226,0.000764086,0.00229226,0.000764086,0.00229226,0.000764086,0.00229226,0.000764086
49,19511.2,2.06885,1.39791,0.00437,0.59863,0.55285,0.51705,0.27131,2.15144,1.42859,0.00501,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939
50,19879.3,2.02269,1.34618,0.00431,0.59672,0.55127,0.51832,0.26841,2.24554,1.44195,0.00513,0.00220738,0.000735792,0.00220738,0.000735792,0.00220738,0.000735792,0.00220738,0.000735792
51,20248.4,2.06235,1.31355,0.00424,0.60076,0.56402,0.52864,0.28238,2.12523,1.42855,0.00493,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645
52,20659.3,2.08052,1.36642,0.00436,0.5932,0.56047,0.52167,0.2729,2.13703,1.45388,0.00492,0.00212249,0.000707498,0.00212249,0.000707498,0.00212249,0.000707498,0.00212249,0.000707498
53,21031.1,2.08459,1.32497,0.00421,0.58002,0.55239,0.50536,0.26098,2.20639,1.46304,0.00508,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351
