epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1473.79,3.85285,4.74365,0.01677,0.00171,0.01153,0.00096,0.00034,3.77933,4.43805,0.01503,0.0008574,0.0002858,0.0008574,0.0002858,0.0008574,0.0002858,0.0008574,0.0002858
2,2688.51,3.5552,4.47338,0.01446,0.00447,0.02476,0.00322,0.00153,3.69043,4.11288,0.01531,0.00174027,0.00058009,0.00174027,0.00058009,0.00174027,0.00058009,0.00174027,0.00058009
3,3846.79,3.20276,3.85805,0.01152,0.02938,0.16398,0.04071,0.01806,3.21741,3.34884,0.01087,0.00260531,0.000868438,0.00260531,0.000868438,0.00260531,0.000868438,0.00260531,0.000868438
4,4958.47,2.97869,3.23941,0.00956,0.48285,0.13368,0.07928,0.03782,3.1554,3.12711,0.01017,0.00345253,0.00115084,0.00345253,0.00115084,0.00345253,0.00115084,0.00345253,0.00115084
5,6011.03,2.80843,2.6835,0.00849,0.20725,0.20249,0.12504,0.05291,3.00155,2.63334,0.00867,0.00411723,0.00137241,0.00411723,0.00137241,0.00411723,0.00137241,0.00411723,0.00137241
6,7056.28,2.80419,2.30217,0.0073,0.34143,0.23662,0.17934,0.07215,2.82839,2.1534,0.00789,0.00407479,0.00135826,0.00407479,0.00135826,0.00407479,0.00135826,0.00407479,0.00135826
7,8088.34,2.58871,2.00905,0.00614,0.44627,0.26769,0.25529,0.1116,2.64594,1.9473,0.00702,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412
8,9153.16,2.64292,1.93092,0.00609,0.44186,0.31683,0.26154,0.11596,2.56175,1.85596,0.007,0.00398991,0.00132997,0.00398991,0.00132997,0.00398991,0.00132997,0.00398991,0.00132997
9,10180.1,2.4501,1.86461,0.00587,0.47136,0.42891,0.34809,0.16112,2.41918,1.69976,0.00628,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582
10,11200.6,2.48511,1.8404,0.00565,0.46379,0.46709,0.35926,0.17226,2.38854,1.66456,0.00577,0.00390503,0.00130168,0.00390503,0.00130168,0.00390503,0.00130168,0.00390503,0.00130168
11,12225.9,2.48032,1.71615,0.00494,0.47085,0.34683,0.27809,0.12436,2.51258,1.86589,0.00637,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753
12,13266.3,2.27912,1.68829,0.00486,0.50259,0.4369,0.3581,0.1794,2.38697,1.68036,0.00574,0.00382015,0.00127338,0.00382015,0.00127338,0.00382015,0.00127338,0.00382015,0.00127338
13,14278.8,2.25329,1.67438,0.00495,0.52708,0.42095,0.36395,0.17743,2.39712,1.66182,0.00569,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923
14,15292.7,2.18359,1.60356,0.00474,0.54414,0.42091,0.37346,0.18695,2.39176,1.6453,0.00577,0.00373526,0.00124509,0.00373526,0.00124509,0.00373526,0.00124509,0.00373526,0.00124509
15,16315.3,2.25977,1.57287,0.00465,0.54719,0.40535,0.3658,0.1706,2.47434,1.65166,0.006,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094
16,17361,2.2331,1.60553,0.00475,0.55235,0.45541,0.41662,0.21195,2.38261,1.59342,0.00553,0.00365038,0.00121679,0.00365038,0.00121679,0.00365038,0.00121679,0.00365038,0.00121679
17,18380.6,2.17054,1.49366,0.00447,0.55535,0.47435,0.44391,0.2292,2.35634,1.5488,0.00546,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265
18,19404.5,2.16139,1.49718,0.00444,0.55123,0.46337,0.43379,0.21239,2.43552,1.5554,0.00565,0.0035655,0.0011885,0.0035655,0.0011885,0.0035655,0.0011885,0.0035655,0.0011885
19,20418.2,2.12225,1.47705,0.00433,0.55291,0.50723,0.46203,0.2438,2.26,1.50136,0.00519,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435
20,21471.8,2.19629,1.50929,0.00454,0.55449,0.51435,0.47393,0.25317,2.21037,1.50503,0.00505,0.00348062,0.00116021,0.00348062,0.00116021,0.00348062,0.00116021,0.00348062,0.00116021
21,22489.3,2.06514,1.48052,0.00458,0.55013,0.53183,0.48602,0.26139,2.14556,1.51127,0.00497,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
22,23507.9,2.1604,1.53595,0.00451,0.56854,0.53283,0.48543,0.25501,2.16654,1.4851,0.00494,0.00339573,0.00113191,0.00339573,0.00113191,0.00339573,0.00113191,0.00339573,0.00113191
23,24526.7,2.04885,1.41574,0.00407,0.55541,0.55407,0.50042,0.26734,2.12957,1.46307,0.00492,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776
24,25574.3,2.04501,1.41133,0.00416,0.56212,0.53256,0.48596,0.25495,2.20524,1.46685,0.00511,0.00331085,0.00110362,0.00331085,0.00110362,0.00331085,0.00110362,0.00331085,0.00110362
25,26589,2.00634,1.40812,0.00422,0.58294,0.52059,0.48772,0.25042,2.28025,1.47397,0.0052,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947
26,27605.6,2.09782,1.43103,0.00415,0.62009,0.50641,0.49652,0.25504,2.17816,1.47702,0.00502,0.00322597,0.00107532,0.00322597,0.00107532,0.00322597,0.00107532,0.00322597,0.00107532
27,28627.7,2.06584,1.39018,0.00408,0.60166,0.54831,0.51978,0.27471,2.18966,1.44243,0.00506,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118
28,29668.8,1.97015,1.39123,0.00396,0.60742,0.54051,0.51494,0.266,2.1006,1.45777,0.00481,0.00314108,0.00104703,0.00314108,0.00104703,0.00314108,0.00104703,0.00314108,0.00104703
29,30683.6,2.00252,1.35602,0.00395,0.5656,0.56129,0.5116,0.26646,2.14029,1.46891,0.00483,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288
30,31704.8,2.0345,1.35253,0.00393,0.59347,0.54848,0.51654,0.26776,2.14205,1.46826,0.00482,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873
31,32712.5,1.96959,1.38855,0.00397,0.58948,0.53952,0.5061,0.26334,2.18595,1.48655,0.00499,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
32,33752.8,1.96708,1.33223,0.00379,0.57236,0.51535,0.49079,0.25639,2.26997,1.49218,0.00506,0.00297132,0.00099044,0.00297132,0.00099044,0.00297132,0.00099044,0.00297132,0.00099044
33,34768.3,1.91928,1.30687,0.00381,0.60245,0.54667,0.51565,0.26323,2.17729,1.46142,0.00489,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293
