epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,390.317,3.92526,4.39972,2.45922,0.00132,0.02986,0.00079,0.00035,3.42099,4.19601,2.0786,0.0008574,0.0002858,0.0008574,0.0002858,0.0008574,0.0002858,0.0008574,0.0002858
2,700.313,3.31791,3.55852,2.08844,0.13124,0.10125,0.04728,0.01899,2.94579,3.43642,1.75499,0.00174027,0.00058009,0.00174027,0.00058009,0.00174027,0.00058009,0.00174027,0.00058009
3,994.828,2.7325,2.55383,1.7289,0.28422,0.22552,0.16228,0.07029,2.55358,2.50947,1.48792,0.00260531,0.000868438,0.00260531,0.000868438,0.00260531,0.000868438,0.00260531,0.000868438
4,1263.38,2.59577,2.20492,1.56691,0.34132,0.31473,0.23665,0.10576,2.4261,2.0202,1.38116,0.00345253,0.00115084,0.00345253,0.00115084,0.00345253,0.00115084,0.00345253,0.00115084
5,1527.17,2.46865,1.89443,1.43285,0.36443,0.36519,0.27592,0.12561,2.27726,1.82386,1.30387,0.00411723,0.00137241,0.00411723,0.00137241,0.00411723,0.00137241,0.00411723,0.00137241
6,1783.19,2.45829,1.80458,1.39707,0.44708,0.37618,0.32276,0.15082,2.22984,1.7279,1.25176,0.00407479,0.00135826,0.00407479,0.00135826,0.00407479,0.00135826,0.00407479,0.00135826
7,2036.73,2.34736,1.70862,1.30182,0.43979,0.44921,0.37527,0.17108,2.1574,1.62743,1.21967,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412
8,2302.94,2.2056,1.5722,1.2609,0.53165,0.46344,0.41096,0.19617,2.1014,1.50195,1.20985,0.00398991,0.00132997,0.00398991,0.00132997,0.00398991,0.00132997,0.00398991,0.00132997
9,2564.61,2.08525,1.49134,1.22079,0.58011,0.48782,0.46635,0.22585,2.02013,1.40631,1.18722,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582
10,2823.6,2.13248,1.53749,1.23317,0.59122,0.50986,0.47618,0.23584,2.01528,1.35235,1.19116,0.00390503,0.00130168,0.00390503,0.00130168,0.00390503,0.00130168,0.00390503,0.00130168
11,3087.92,2.19877,1.49173,1.21244,0.50372,0.47265,0.42585,0.19043,2.06461,1.5747,1.16375,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753
12,3361.31,2.01388,1.44512,1.18206,0.55824,0.51595,0.50076,0.24995,1.90715,1.34494,1.14022,0.00382015,0.00127338,0.00382015,0.00127338,0.00382015,0.00127338,0.00382015,0.00127338
13,3616.51,1.89971,1.4465,1.18565,0.57355,0.50909,0.47613,0.23246,1.94546,1.35554,1.14595,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923
14,3878.07,1.91924,1.34054,1.14864,0.50953,0.39675,0.3498,0.16251,2.15964,1.58863,1.17669,0.00373526,0.00124509,0.00373526,0.00124509,0.00373526,0.00124509,0.00373526,0.00124509
15,4143.99,1.887,1.34316,1.14577,0.57519,0.55081,0.53084,0.26772,1.86591,1.2423,1.12751,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094
16,4418.43,1.92089,1.32703,1.1334,0.60351,0.55047,0.5297,0.26965,1.87167,1.2793,1.12051,0.00365038,0.00121679,0.00365038,0.00121679,0.00365038,0.00121679,0.00365038,0.00121679
17,4677.55,1.8724,1.29704,1.12592,0.4987,0.47839,0.42837,0.21167,1.96833,1.4067,1.13929,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265
18,4932.54,1.81157,1.26506,1.10446,0.55452,0.5447,0.51536,0.25321,1.90272,1.26818,1.12315,0.0035655,0.0011885,0.0035655,0.0011885,0.0035655,0.0011885,0.0035655,0.0011885
19,5190.27,1.78007,1.30862,1.1357,0.58314,0.56294,0.54368,0.28271,1.81994,1.21283,1.10834,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435
20,5468.39,1.88917,1.3026,1.1356,0.52378,0.48777,0.45317,0.21865,1.98728,1.38358,1.12941,0.00348062,0.00116021,0.00348062,0.00116021,0.00348062,0.00116021,0.00348062,0.00116021
21,5720.27,1.74526,1.22916,1.10829,0.62219,0.57704,0.56937,0.29234,1.80471,1.18328,1.09312,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
22,5978.74,1.79485,1.27247,1.1163,0.53876,0.46753,0.43753,0.21072,1.97398,1.43075,1.12766,0.00339573,0.00113191,0.00339573,0.00113191,0.00339573,0.00113191,0.00339573,0.00113191
